model,train_dataset,train_dataset_label,seed,epochs,checkpoint_path,split_policy,train_rows,eval_rows,cleaning,max_length,batch_size,learning_rate,accuracy,precision_hate,recall_hate,f1_hate,precision_macro,recall_macro,f1_macro
mbert,cm_splits_codemixed,CM Code-mixed,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-cm_splits_codemixed__seed7__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.7735849056603774,0.6708860759493671,0.7066666666666667,0.6883116883116883,0.7527362710573904,0.7584428223844282,0.7552669552669553
mbert,cm_splits_codemixed,CM Code-mixed,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-cm_splits_codemixed__seed13__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.8066037735849056,0.7297297297297297,0.72,0.7248322147651006,0.7887779083431257,0.787007299270073,0.7878706528370958
mbert,cm_splits_codemixed,CM Code-mixed,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-cm_splits_codemixed__seed42__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.8089622641509434,0.7482014388489209,0.6933333333333334,0.7197231833910035,0.7933989650384956,0.7827980535279806,0.7874107866865572
muril,cm_splits_codemixed,CM Code-mixed,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-cm_splits_codemixed__seed7__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.8042452830188679,0.7218543046357616,0.7266666666666667,0.7242524916943521,0.7858355772263057,0.78669099756691,0.7862578729038487
muril,cm_splits_codemixed,CM Code-mixed,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-cm_splits_codemixed__seed13__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.7665094339622641,0.6783216783216783,0.6466666666666666,0.6621160409556314,0.7448547893387751,0.7393917274939172,0.7418688312886266
muril,cm_splits_codemixed,CM Code-mixed,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-cm_splits_codemixed__seed42__e2,"split:train=train+val,eval=test",3476,424,minimal,128,8,2e-05,0.7924528301886793,0.7924528301886793,0.56,0.65625,0.7924528301886793,0.7398540145985402,0.7538006756756757
mbert,kaggle_hinglish_hate,Kaggle Hinglish Hate,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-kaggle_hinglish_hate__seed7__e2,stratified_80_20_seed7,3824,956,minimal,128,8,2e-05,0.694560669456067,0.6201780415430267,0.5603217158176944,0.5887323943661972,0.6776172921770061,0.6703838424714543,0.6729019708935811
mbert,kaggle_hinglish_hate,Kaggle Hinglish Hate,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-kaggle_hinglish_hate__seed13__e2,stratified_80_20_seed13,3824,956,minimal,128,8,2e-05,0.7416317991631799,0.794392523364486,0.45576407506702415,0.5792163543441227,0.7604038088520543,0.6901461884769083,0.69640063000225
mbert,kaggle_hinglish_hate,Kaggle Hinglish Hate,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-kaggle_hinglish_hate__seed42__e2,,,,,,,,0.7112970711297071,0.7487179487179487,0.3914209115281501,0.5140845070422535,0.7252131136493818,0.6536864420419481,0.6543636820925554
muril,kaggle_hinglish_hate,Kaggle Hinglish Hate,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-kaggle_hinglish_hate__seed7__e2,stratified_80_20_seed7,3824,956,minimal,128,8,2e-05,0.7165271966527197,0.8227848101265823,0.3485254691689008,0.4896421845574388,0.7591367659655468,0.6502490124575208,0.6467037859789366
muril,kaggle_hinglish_hate,Kaggle Hinglish Hate,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-kaggle_hinglish_hate__seed13__e2,stratified_80_20_seed13,3824,956,minimal,128,8,2e-05,0.6621338912133892,0.7659574468085106,0.19302949061662197,0.3083511777301927,0.7083847558868539,0.5776468207800091,0.5424108829827434
muril,kaggle_hinglish_hate,Kaggle Hinglish Hate,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-kaggle_hinglish_hate__seed42__e2,,,,,,,,0.6652719665271967,0.7523809523809524,0.21179624664879357,0.3305439330543933,0.7034525208438251,0.5835996670636764,0.5536959553695955
mbert,thar_religion,THAR Religion,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-thar_religion__seed7__e2,stratified_80_20_seed7,9239,2310,minimal,128,8,2e-05,0.7463203463203463,0.708505367464905,0.7864344637946837,0.7454387489139879,0.7482472242238083,0.7484264197562427,0.7463173037063469
mbert,thar_religion,THAR Religion,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-thar_religion__seed13__e2,stratified_80_20_seed13,9239,2310,minimal,128,8,2e-05,0.7458874458874459,0.6978021978021978,0.8148487626031164,0.7517970401691332,0.7514107514107513,0.7495080564451185,0.7457433094415511
mbert,thar_religion,THAR Religion,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/mbert__train-thar_religion__seed42__e2,stratified_80_20_seed42,9239,2310,minimal,128,8,2e-05,0.7480519480519481,0.7144060657118787,0.7772685609532539,0.7445127304653204,0.7490106909147105,0.7495858801484891,0.748003589827024
muril,thar_religion,THAR Religion,7,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-thar_religion__seed7__e2,stratified_80_20_seed7,9239,2310,minimal,128,8,2e-05,0.7627705627705628,0.7271966527196653,0.7965169569202566,0.7602799650043744,0.7640467568531062,0.7645423176725976,0.7627449525107561
muril,thar_religion,THAR Religion,13,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-thar_religion__seed13__e2,stratified_80_20_seed13,9239,2310,minimal,128,8,2e-05,0.7532467532467533,0.7158243579121789,0.7919340054995417,0.7519582245430809,0.7550110003522816,0.7552779133322155,0.7532400941836852
muril,thar_religion,THAR Religion,42,2,/Users/ompatnaik/Documents/Code/Hinglish Research/Models/muril__train-thar_religion__seed42__e2,stratified_80_20_seed42,9239,2310,minimal,128,8,2e-05,0.7787878787878788,0.7474402730375427,0.8029330889092575,0.7741935483870968,0.7792561646382792,0.7800555518377297,0.7786962650717835
